Model, Hidden Layer 1,Hidden Layer 2,Hidden Layer 3,Batch Size,Optimizer,Validation MSE,Validation MAE,5% Margin Accuracy
1731385763,128,64,16,1024,adam,0.0626080110669136,0.1406370997428894,42.331288343558285
1731388135,128,64,'-',1024,adam,0.07888652384281158,0.13755130767822266,45.16926118112182
1731388730,128,64,16,1024,adam,0.07368620485067368,0.13558542728424072,44.996293550778354
1731390048,128,64,16,1024,adam,0.06589719653129578,0.1258082538843155,46.948356807511736
1731412221,128,64,'-',512,rmsprop,0.06485380977392197,0.12383288145065308,48.45564615764764
1731413722,32,64,16,1024,adam,0.06956039369106293,0.13110096752643585,46.207066963182605
